UNITID,SALTOTL,SALPROF,SALASSC,SALASST,SALINST,SALLECT,SALNRNK,SFTETOTL,SFTEPSTC,SFTEINST,SFTERSRC,SFTEPBSV,SFTELCAI,SFTELCA,SFTEOTIS,SFTEMNGM,SFTEBFO,SFTECES,SFTECLAM,SFTEHLTH,SFTEOTHR,SFTESRVC,SFTESALE,SFTEOFAS,SFTENRCM,SFTEPTMM
160409,,,,,,,,54.0,,28.0,,,,,,6.0,4.0,2.0,1.0,,,6.0,,3.0,,
160445,,,,,,,,15.0,,7.0,,,,,,2.0,2.0,,,,,,2.0,2.0,,
160472,,,,,,,,5.0,,2.0,,,,,,1.0,1.0,,,,,,,0.0,1.0,
160481,,,,,,,,128.0,,71.0,,,,,,15.0,22.0,2.0,,,,1.0,,7.0,5.0,
160524,,,,,,,,41.0,,22.0,,,,,,8.0,1.0,1.0,,,,2.0,2.0,5.0,,
160533,,,,,,,,53.0,,,,,,,,19.0,8.0,1.0,2.0,,,1.0,,20.0,,
160579,,,,,,,,186.0,,106.0,,,,,,20.0,31.0,4.0,,,,2.0,,11.0,6.0,
160597,,,,,,,,14.0,,5.0,,,,,,2.0,1.0,,,,,2.0,,4.0,,
160612,,,,,,,,1272.0,,507.0,,,,,,150.0,78.0,25.0,80.0,6.0,,130.0,,149.0,72.0,12.0
160621,,,,,,,,1144.0,,364.0,48.0,46.0,,,,44.0,36.0,40.0,109.0,18.0,,120.0,,197.0,48.0,11.0
160630,,,,,,,,295.0,,108.0,,,,,,30.0,9.0,18.0,30.0,2.0,,22.0,,42.0,2.0,4.0
160649,,,,,,,,259.0,,101.0,,,,,,38.0,13.0,10.0,3.0,,,24.0,,23.0,5.0,
160658,,,,,,,,1855.0,,665.0,,,,,,198.0,42.0,173.0,100.0,122.0,,113.0,7.0,235.0,91.0,24.0
160667,,,,,,,,173.0,,96.0,,,,,,21.0,20.0,,7.0,,,2.0,,11.0,3.0,
160755,,,,,,,,4590.0,,1064.0,497.0,,,,,747.0,277.0,377.0,48.0,303.0,,104.0,2.0,696.0,293.0,32.0
160904,,,,,,,,685.0,,229.0,5.0,,,,,80.0,44.0,55.0,57.0,7.0,,69.0,,96.0,4.0,13.0
160913,,,,,,,,130.0,,72.0,,,,,,11.0,19.0,,,,,1.0,,19.0,5.0,
160940,,,,,,,,66.0,,21.0,,,,,,10.0,3.0,2.0,17.0,,,,,1.0,,
160959,,,,,,,,86.0,,25.0,,,,,,5.0,7.0,5.0,7.0,,,13.0,,17.0,3.0,0.0
160977,,,,,,,,691.0,,172.0,,,,,,70.0,45.0,31.0,58.0,10.0,,135.0,6.0,90.0,25.0,8.0
160995,,,,,,,,36.0,,14.0,,,,,,7.0,1.0,,,,,4.0,0.0,8.0,,
161004,,,,,,,,908.0,,223.0,0.0,,,,,130.0,45.0,66.0,64.0,6.0,,196.0,4.0,104.0,25.0,13.0
161022,,,,,,,,29.0,,20.0,,,,,,2.0,2.0,,,,,,,1.0,,
161077,,,,,,,,181.0,,106.0,,,,,,16.0,9.0,5.0,4.0,,,14.0,,9.0,1.0,
161086,,,,,,,,662.0,,196.0,,,,,,77.0,19.0,43.0,47.0,10.0,,85.0,4.0,81.0,25.0,6.0
161138,,,,,,,,207.0,,131.0,1.0,,,,,17.0,4.0,4.0,1.0,,,9.0,,17.0,3.0,
161192,,,,,,,,129.0,,74.0,,,,,,14.0,9.0,3.0,3.0,,,8.0,,7.0,2.0,
161208,,,,,,,,13.0,,5.0,,,,,,4.0,1.0,,,,,,,2.0,,
161217,,,,,,,,349.0,,145.0,,,,,,8.0,6.0,6.0,54.0,6.0,,24.0,1.0,53.0,3.0,
