UNITID,SALTOTL,SALPROF,SALASSC,SALASST,SALINST,SALLECT,SALNRNK,SFTETOTL,SFTEPSTC,SFTEINST,SFTERSRC,SFTEPBSV,SFTELCAI,SFTELCA,SFTEOTIS,SFTEMNGM,SFTEBFO,SFTECES,SFTECLAM,SFTEHLTH,SFTEOTHR,SFTESRVC,SFTESALE,SFTEOFAS,SFTENRCM,SFTEPTMM
137962,,,,,,,,38.0,,14.0,,,,,,3.0,2.0,1.0,3.0,,,,,8.0,1.0,
138132,,,,,,,,10.0,,,,,,,,1.0,,,,,,,,2.0,,
138187,,,,,,,,2186.0,,811.0,,,,,,77.0,260.0,85.0,105.0,,,190.0,22.0,297.0,30.0,
138275,,,,,,,,199.0,,71.0,,,,,,24.0,2.0,2.0,20.0,5.0,,22.0,,20.0,,
138284,,,,,,,,59.0,,35.0,,,,,,2.0,2.0,,,,,,,8.0,,
138293,,,,,,,,122.0,,21.0,,,,,,8.0,7.0,,24.0,13.0,,29.0,,19.0,,
138309,,,,,,,,563.0,,344.0,,,,,,40.0,4.0,,,,,,1.0,14.0,,
138354,,,,,,,,1379.0,,412.0,12.0,,,,,252.0,238.0,81.0,39.0,14.0,,78.0,,197.0,38.0,8.0
138372,,,,,,,,118.0,,69.0,,,,,,4.0,1.0,1.0,,,,5.0,,22.0,,
138479,,,,,,,,209.0,,148.0,,,,,,4.0,2.0,3.0,,,,10.0,,24.0,2.0,1.0
138488,,,,,,,,129.0,,57.0,,,,,,5.0,,,,,,6.0,,23.0,,
138497,,,,,,,,85.0,,44.0,,,,,,3.0,3.0,2.0,,,,,,22.0,6.0,
138558,,,,,,,,314.0,,128.0,,,,,,35.0,6.0,15.0,11.0,2.0,,15.0,3.0,66.0,13.0,
138600,,,,,,,,325.0,,88.0,,,,,,34.0,26.0,14.0,26.0,4.0,,54.0,,30.0,6.0,
138655,,,,,,,,51.0,,12.0,,,,,,3.0,8.0,,,,,,6.0,8.0,7.0,
138664,,,,,,,,8.0,,1.0,,,,,,2.0,1.0,,,,,,2.0,1.0,,
138682,,,,,,,,269.0,,142.0,,,,,,13.0,5.0,7.0,5.0,,,18.0,2.0,49.0,7.0,1.0
138691,,,,,,,,395.0,,198.0,,1.0,,,,27.0,6.0,17.0,25.0,12.0,,22.0,,65.0,5.0,
138716,,,,,,,,612.0,,206.0,,,,,,68.0,17.0,26.0,16.0,4.0,,92.0,,110.0,14.0,
138761,,,,,,,,71.0,,18.0,,,,,,6.0,5.0,1.0,23.0,2.0,,2.0,,12.0,,
138789,,,,,,,,709.0,,325.0,,,,,,91.0,10.0,31.0,22.0,2.0,,46.0,,122.0,19.0,
138813,,,,,,,,240.0,,113.0,,,,,,21.0,1.0,,,,,,,103.0,,
138822,,,,,,,,48.0,,28.0,,,,,,5.0,3.0,,,,,,,5.0,0.0,
138840,,,,,,,,396.0,,172.0,,,,,,11.0,31.0,12.0,8.0,,,22.0,,74.0,,
138868,,,,,,,,163.0,,80.0,,1.0,,,,30.0,2.0,5.0,14.0,2.0,,,,5.0,,
138901,,,,,,,,257.0,,98.0,,,,,,34.0,6.0,12.0,5.0,3.0,,22.0,,54.0,4.0,
138929,,,,,,,,88.0,,32.0,3.0,,,,,9.0,2.0,3.0,,,,3.0,,12.0,,
138938,,,,,,,,31.0,,16.0,,,,,,3.0,2.0,,,,,,3.0,7.0,,
138947,,,,,,,,571.0,,208.0,19.0,,,,,24.0,39.0,37.0,44.0,3.0,,38.0,,146.0,,
138956,,,,,,,,347.0,,183.0,,,,,,37.0,13.0,3.0,,,,39.0,,53.0,6.0,
139010,,,,,,,,215.0,,78.0,,,,,,30.0,5.0,10.0,4.0,2.0,,28.0,,33.0,6.0,
139074,,,,,,,,53.0,,31.0,,,,,,7.0,,,7.0,,,,,2.0,,
139092,,,,,,,,10.0,,5.0,,,,,,1.0,1.0,1.0,,,,,,2.0,,
139144,,,,,,,,535.0,,176.0,,,,,,70.0,18.0,15.0,50.0,,,74.0,,87.0,21.0,13.0
139153,,,,,,,,73.0,,30.0,,,,,,14.0,4.0,,,,,4.0,,11.0,,
139199,,,,,,,,387.0,,183.0,,,,,,36.0,2.0,6.0,6.0,1.0,,6.0,,65.0,9.0,3.0
139205,,,,,,,,91.0,,36.0,,,,,,11.0,1.0,1.0,12.0,,,5.0,,11.0,1.0,
139214,,,,,,,,23.0,,10.0,,,,,,3.0,,1.0,,,,,,4.0,,
139250,,,,,,,,297.0,,118.0,,,,,,25.0,5.0,10.0,12.0,,,42.0,,45.0,7.0,
